city,category,count
austin,Information Services ,2
austin,Temporary Staffing ,2
austin,Law Enforcement ,2
austin,Leisure ,2
austin,Meeting Software ,2
austin,Usability ,2
austin,Accounting ,2
austin,Health and Insurance ,2
austin,Recycling ,2
austin,New York ,2
austin,Social News ,2
austin,Real Time ,2
austin,Web Presence Management ,2
austin,P2P Money Transfer ,2
austin,Mobile Emergency&Health ,2
austin,Mac Applications ,2
austin,Computers ,2
austin,Local Based Services ,2
austin,Property Management ,3
austin,Home Decor ,3
austin,Outsourcing ,3
austin,Customer Support Tools ,3
austin,Employment ,3
austin,Social Network ,3
austin,Angels ,3
austin,Printing ,3
austin,Colleges ,3
austin,Investment Management ,3
austin,Europe ,3
austin,Physicians ,3
austin,Displays ,3
austin,Mobility ,3
austin,Elder Care ,3
austin,Search Marketing ,3
austin,Enterprise Resource Planning ,3
austin,Robotics ,3
austin,Video Chat ,3
austin,Employer Benefits Programs ,3
austin,Online Identity ,3
austin,E-Commerce Platforms ,3
austin,Call Center Automation ,3
austin,Local Services ,3
austin,3D Printing ,3
austin,Entrepreneurs ,3
austin,Parking ,3
austin,Electric Vehicles ,3
austin,Legal Tech ,3
austin,Network Security ,3
austin,Smart Building ,3
austin,Custom Retail ,3
austin,Content Delivery ,3
austin,Action Sports ,3
austin,Gift Registries ,3
austin,Hotels ,3
austin,Same Day Delivery ,3
austin,Advertising Networks ,3
austin,Gay & Lesbian ,3
austin,Risk Management ,3
austin,Social CRM ,3
austin,Technical Continuing Education ,3
austin,Real Estate Investors ,3
austin,Ticketing ,3
austin,Online Marketplaces ,3
austin,Edutainment ,3
austin,Drones ,3
austin,SMS ,3
austin,MMO Games ,3
austin,Wireless ,3
austin,Loyalty Programs ,3
austin,Telephony ,3
austin,Sensors ,3
austin,Online Auctions ,3
austin,Independent Music Labels ,3
austin,Consumer Packaged Goods ,3
austin,Lighting ,3
austin,Personal Branding ,3
austin,Promotional ,3
austin,Furniture ,3
austin,Real Estate Technology ,3
austin,Storage ,3
austin,SEO ,3
austin,US Hispanic Market ,3
austin,College Recruiting ,3
austin,Travel & Tourism ,3
austin,iPad ,3
austin,Hospitals ,3
austin,High Schools ,3
austin,Online Gaming ,3
austin,Wholesale ,3
austin,Deep Information Technology ,3
austin,Presentations ,3
austin,Coupons ,3
austin,Edtech ,3
austin,Healthcare Services ,3
austin,Corporate Wellness ,3
austin,Toys ,3
austin,Television ,3
austin,Training ,3
austin,Media ,3
austin,Career Planning ,3
austin,Jewelry ,4
austin,Gambling ,4
austin,Data Centers ,4
austin,Tablets ,4
austin,Educational Games ,4
austin,Architecture ,4
austin,Identity ,4
austin,Consumers ,4
austin,Personal Data ,4
austin,Price Comparison ,4
austin,Fraud Detection ,4
austin,Incubators ,4
austin,Higher Education ,4
austin,Social Recruiting ,4
austin,Internet TV ,4
austin,Email ,4
austin,Sustainability ,4
austin,Natural Language Processing ,4
austin,Tutoring ,4
austin,Mobile Application ,4
austin,Classifieds ,4
austin,Application Platforms ,4
austin,Musicians ,4
austin,Information Technology ,4
austin,Business Productivity ,4
austin,Distribution ,4
austin,Financial Exchanges ,4
